TERM_CODE,CRN,TERM_DESC,TITLE,SUBJ_CODE,SUBJ_DESC,CRSE_NUM,SEQ_NUM,XLST_GROUP,SCHD_DESC,MAX_ENRL,CREDIT_HR,COLL_DESC,DEPT_DESC,BLDG_DESC,ROOM_CODE,BEGIN_TIME,END_TIME,START_DATE,END_DATE,SUN_DAY,MON_DAY,TUE_DAY,WED_DAY,THU_DAY,FRI_DAY,SAT_DAY,HRS_WEEK
202230,1333,Spring Quarter 2022,Calculus III,MATH,Mathematics,1953,1,,Lecture,44,4,Natural Sciences & Mathematics,Mathematics,Engineering & Computer Science,***,1000,1150,28-Mar-22,05-Jun-22,,M,,W,,F,,3.66
202230,1921,Spring Quarter 2022,Calculus III,MATH,Mathematics,1953,4,,Lecture,44,4,Natural Sciences & Mathematics,Mathematics,Boettcher Center Auditorium,103,1200,1250,28-Mar-22,05-Jun-22,,M,T,W,R,F,,4.16
202230,2538,Spring Quarter 2022,Galaxies and Cosmology,PHYS,Physics & Astronomy,2053,1,,Lecture,15,4,Natural Sciences & Mathematics,Physics and Astronomy,Physics Building,326,1400,1550,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,3409,Spring Quarter 2022,Geog Information Analysis,GEOG,Geography,3010,1,,Lecture,24,4,Natural Sciences & Mathematics,Geography & the Environment,Boettcher Center West,126,1200,1350,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,2724,Spring Quarter 2022,Environmental Law,ENVI,Environmental Science,3000,1,,Lecture,24,4,Natural Sciences & Mathematics,Geography & the Environment,F.W. Olin Hall,142,1600,1750,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,4829,Spring Quarter 2022,Topics: Prof Writing Seminar,GEOG,Geography,4701,1,,Lecture,8,4,Natural Sciences & Mathematics,Geography & the Environment,Boettcher Center West,123,1800,2150,28-Mar-22,05-Jun-22,,,T,,,,,3.83
202230,5390,Spring Quarter 2022,Speaking on Ideas that Matter,COMN,Communication,1012,2,,Lecture,20,4,Social Sciences,Communication Studies,Sturm Hall,411,1600,1750,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,1176,Spring Quarter 2022,Intro Cognitive Neuroscience,PSYC,Psychology,2031,1,,Lecture,70,4,Social Sciences,Psychology,Sturm Hall,254,1000,1150,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,3425,Spring Quarter 2022,Quantum Physics II,PHYS,Physics & Astronomy,3112,1,,Lecture,20,4,Natural Sciences & Mathematics,Physics and Astronomy,Physics Building,118,1200,1350,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,3691,Spring Quarter 2022,Tpcs: Cryptography,MATH,Mathematics,4700,2,,Lecture,15,4,Natural Sciences & Mathematics,Mathematics,Clarence M. Knudson Hall,201,1000,1150,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,5647,Spring Quarter 2022,Couns Psych Sem: Special Tpcs,CNP,Counseling Psychology,4794,6,,Lecture,15,1,Education,Counseling Psychology,Katherine A. Ruffatto Hall,409,1700,1850,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,3903,Spring Quarter 2022,Topics in Evolution,BIOL,Biology,3706,1,,Lecture,20,4,Natural Sciences & Mathematics,Biological Sciences,Sturm Hall,424,1400,1550,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,1098,Spring Quarter 2022,Calculus II,MATH,Mathematics,1952,1,,Lecture,40,4,Natural Sciences & Mathematics,Mathematics,F.W. Olin Hall,105,1100,1150,28-Mar-22,05-Jun-22,,M,T,W,R,F,,4.16
202230,3427,Spring Quarter 2022,Advanced Condensed Matter II,PHYS,Physics & Astronomy,4412,1,,Lecture,10,3,Natural Sciences & Mathematics,Physics and Astronomy,Physics Building,313,1200,1330,28-Mar-22,05-Jun-22,,,T,,R,,,3
202230,5244,Spring Quarter 2022,Exceptionalities in Special Ed,CFSP,"Child, Family & School Psych",4306,1,,Lecture,14,3,Education,Educational/Counseling Psych,Katherine A. Ruffatto Hall,305,0900,1150,28-Mar-22,05-Jun-22,,M,,,,,,2.83
202230,2250,Spring Quarter 2022,Capstone Biomedical Sciences,BIOL,Biology,4880,1,,Lecture,13,4,Natural Sciences & Mathematics,Biological Sciences,F.W. Olin Hall,103,1200,1550,28-Mar-22,05-Jun-22,,,,,,F,,3.83
202230,2916,Spring Quarter 2022,Fndtns in Lit: Ecology,BIOL,Biology,4330,1,,Lecture,10,2,Natural Sciences & Mathematics,Biological Sciences,Clarence M. Knudson Hall,211,1000,1150,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2115,Spring Quarter 2022,Intro to Environ Chemistry,CHEM,Chemistry,2240,1,,Lecture,50,4,Natural Sciences & Mathematics,Chemistry & Biochemistry,Sturm Hall,151,0900,0950,28-Mar-22,05-Jun-22,,M,,W,,F,,2.5
202230,4534,Spring Quarter 2022,Mgmt of Info Organizations,LIS,Library & Information Science,4040,1,,Lecture,25,3,Education,Research Methods Info Science,Katherine A. Ruffatto Hall,302,1900,2120,28-Mar-22,05-Jun-22,,,,,R,,,2.33
202230,1063,Spring Quarter 2022,Seminar in Physics,PHYS,Physics & Astronomy,4750,1,,Lecture,50,1,Natural Sciences & Mathematics,Physics and Astronomy,F.W. Olin Hall,105,1600,1650,28-Mar-22,05-Jun-22,,,,W,,,,0.83
202230,3428,Spring Quarter 2022,Adv Electricity & Magnetism II,PHYS,Physics & Astronomy,4612,1,,Lecture,10,3,Natural Sciences & Mathematics,Physics and Astronomy,Physics Building,313,0900,1030,28-Mar-22,05-Jun-22,,M,,W,,,,3
202230,1054,Spring Quarter 2022,Cosmology,PHYS,Physics & Astronomy,1090,1,,Lecture,15,4,Natural Sciences & Mathematics,Physics and Astronomy,***,***,1900,2050,28-Mar-22,05-Jun-22,,M,T,,,,,1.83
202230,1752,Spring Quarter 2022,Global Environmental ChangeIII,GEOG,Geography,1266,1,,Lecture,40,4,Natural Sciences & Mathematics,Geography & the Environment,Boettcher Center Auditorium,102,1200,1330,28-Mar-22,05-Jun-22,,M,,W,,,,3
202230,2847,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,7,,Lecture,20,1,Study Abroad,Study Abroad,Sie Complex,3015,1600,1750,28-Mar-22,05-Jun-22,,,,,R,,,1.83
202230,2827,Spring Quarter 2022,SP Program Dev. & Eval.,CFSP,"Child, Family & School Psych",4363,2,,Lecture,14,3,Education,Teaching & Learning Science,Katherine A. Ruffatto Hall,202,1330,1620,28-Mar-22,05-Jun-22,,M,,,,,,2.83
202230,2097,Spring Quarter 2022,Introduction Qualitative Rsrch,RMS,Research Methods and Stats,4941,1,,Lecture,20,4,Education,Research Methods Info Science,Katherine A. Ruffatto Hall,304,1830,2140,28-Mar-22,05-Jun-22,,,,,R,,,3.16
202230,1178,Spring Quarter 2022,Field Experiences in Psych,PSYC,Psychology,3762,1,,Lecture,15,1,Social Sciences,Psychology,Frontier Hall,45,0900,0950,28-Mar-22,05-Jun-22,,,T,,,,,0.83
202230,3372,Spring Quarter 2022,Quantitative Research Design,RMS,Research Methods and Stats,4930,2,,Lecture,25,3,Education,Research Methods Info Science,Katherine A. Ruffatto Hall,305,1600,1820,28-Mar-22,05-Jun-22,,,T,,,,,2.33
202230,2855,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,15,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,3110,1400,1550,28-Mar-22,05-Jun-22,,M,,,,,,1.83
202230,2854,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,14,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,3110,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2982,Spring Quarter 2022,Counseling Psyc Prac Begin,CNP,Counseling Psychology,4750,6,,Lecture,10,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,202,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2857,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,17,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,3110,1400,1550,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,5325,Spring Quarter 2022,Comparative Politics,PLSC,Political Science,1110,1,,Lecture,70,4,Social Sciences,Political Science,Sturm Hall,253,1600,1750,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,2990,Spring Quarter 2022,Intermediate Microeconomics,ECON,Economics,2020,1,,Lecture,40,4,Social Sciences,Economics,Sturm Hall,479,1000,1150,28-Mar-22,05-Jun-22,,,,W,,F,,3.66
202230,2830,Spring Quarter 2022,Special & Gifted Ed Legal Iss,CFSP,"Child, Family & School Psych",4302,1,,Lecture,15,3,Education,Teaching & Learning Science,Sturm Hall,235,1630,1920,28-Mar-22,05-Jun-22,,,,,R,,,2.83
202230,4563,Spring Quarter 2022,Critical Race Theory & Educ.,HED,Higher Education,4287,0,,Lecture,15,4,Education,Higher Education,Katherine A. Ruffatto Hall,408,1800,2120,28-Mar-22,05-Jun-22,,M,,,,,,3.33
202230,5648,Spring Quarter 2022,Critical Persp in Museum Studi,ANTH,Anthropology,3791,1,BC,Lecture,10,4,Social Sciences,Anthropology,Sturm Hall,154,1600,1750,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,3520,Spring Quarter 2022,Global/Multicultural Campaigns,MFJS,Media Film Journalism Studies,4080,1,,Lecture,20,4,Social Sciences,"Media, Film & Journalism",Mass Communications Building,119,1800,1950,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,1768,Spring Quarter 2022,Fndtn of Psychological Science,PSYC,Psychology,1001,2,,Lecture,120,4,Social Sciences,Psychology,Sturm Hall,251,1000,1150,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,2589,Spring Quarter 2022,Psychophysiology & Biofeedback,CPSY,Clinical Psychology,4689,1,,Lecture,30,2,Professional Psychology,Professional Psychology,Ammi Hyde Building,108,1230,1420,28-Mar-22,05-Jun-22,,,T,,,,,1.83
202230,5323,Spring Quarter 2022,Identity and Politics,ASEM,Advanced Seminar,2463,1,,Lecture,17,4,Social Sciences,Political Science,Sturm Hall,335,1000,1150,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,1897,Spring Quarter 2022,Fundmntls Intercultural Comm,COMN,Communication,1700,1,,Lecture,30,4,Social Sciences,Communication Studies,Sturm Hall,410,1600,1750,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,2195,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,5,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,2015,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2094,Spring Quarter 2022,Counseling Psyc Prac Begin,CNP,Counseling Psychology,4750,4,,Lecture,10,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,408,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2194,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,4,,Lecture,20,2,Study Abroad,Study Abroad,Katherine A. Ruffatto Hall,408,1000,1150,28-Mar-22,05-Jun-22,,,T,,,,,1.83
202230,1422,Spring Quarter 2022,Counseling Psyc Prac Begin,CNP,Counseling Psychology,4750,1,,Lecture,10,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,134,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2193,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,3,,Lecture,20,2,Study Abroad,Study Abroad,Sturm Hall,412,1600,1750,28-Mar-22,05-Jun-22,,,,W,,,,1.83
